recording_file,sample_mid,is_positive,gt_length_cm,pred_length_cm,gt_weight_g,pred_weight_g,presence_prob,pred_present
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1415,0,0.0,30.53,0.0,541.3,0.9729,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,7380,1,26.0,26.39,390.0,380.2,0.9683,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,3832,1,30.0,30.21,580.0,543.6,0.9665,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1831,1,26.0,26.28,390.0,382.7,0.9769,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9306,0,0.0,29.15,0.0,611.5,0.952,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,10914,1,33.0,32.92,680.0,666.2,0.9857,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,5294,1,26.0,26.15,390.0,374.3,0.9623,1
ARDG_AQUA bream620 gr31cm  281025 1618004.csv,49,1,31.0,30.98,620.0,602.1,0.818,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,925,0,0.0,31.35,0.0,517.9,0.9444,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11306,1,31.0,31.97,620.0,637.5,0.9186,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,3585,1,30.0,31.12,580.0,592.1,0.9686,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2304,0,0.0,31.1,0.0,560.5,0.9732,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,3829,1,30.0,29.51,580.0,583.4,0.9832,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3045,1,36.0,34.63,800.0,776.3,0.9846,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5763,0,0.0,29.72,0.0,517.8,0.943,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7149,0,0.0,30.07,0.0,509.5,0.8183,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,5232,1,21.0,20.42,150.0,140.6,0.9569,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,5397,1,32.0,31.78,630.0,621.9,0.9691,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1909,1,26.0,26.43,390.0,417.8,0.8844,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,10876,0,0.0,29.28,0.0,493.6,0.9158,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7967,1,21.0,20.32,150.0,141.3,0.9535,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8344,0,0.0,29.79,0.0,575.7,0.6765,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,4132,1,33.0,32.28,680.0,674.4,0.9895,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,1621,1,27.0,27.21,350.0,435.9,0.9755,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11474,1,26.0,27.07,390.0,379.4,0.9592,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,2175,1,27.0,26.76,350.0,342.5,0.9777,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,1563,1,30.0,29.94,500.0,511.4,0.9575,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8680,0,0.0,20.98,0.0,226.7,0.951,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,11307,1,31.0,31.45,630.0,627.6,0.9647,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,1616,1,32.0,32.17,630.0,630.8,0.9707,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6285,1,33.0,32.53,680.0,664.8,0.9909,1
ARDG_AQUA bream 340gr 27cm  281025 1415002.csv,179,1,27.0,26.52,340.0,336.9,0.9592,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1475,1,26.0,27.01,390.0,388.2,0.9708,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6832,1,33.0,32.54,680.0,656.4,0.9837,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,1388,1,30.0,29.82,500.0,483.3,0.9532,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,11017,0,0.0,21.27,0.0,128.4,0.7231,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,11625,1,23.0,23.07,310.0,303.7,0.9671,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,504,1,30.0,29.07,500.0,579.3,0.9801,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,1055,1,32.0,31.65,630.0,616.6,0.9767,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,3312,1,30.0,30.24,500.0,483.9,0.9511,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,7033,1,33.0,30.77,680.0,603.9,0.9794,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,8364,1,26.0,25.78,390.0,377.9,0.9731,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1310,0,0.0,24.64,0.0,311.9,0.9394,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,1388,0,0.0,26.7,0.0,463.4,0.9191,1
