recording_file,peak_sample,window_start,window_end,peak_timestamp,window_start_time,window_end_time,presence_prob,length_cm,weight_g
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4983,4964,5002,2025-10-28 11:50:09.784,2025-10-28 11:50:09.298,2025-10-28 11:50:10.242,0.9392,27.28,515.9
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,5125,5106,5144,2025-10-28 11:50:13.322,2025-10-28 11:50:12.848,2025-10-28 11:50:13.808,0.9554,28.8,463.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,5239,5220,5258,2025-10-28 11:50:16.177,2025-10-28 11:50:15.713,2025-10-28 11:50:16.656,0.9483,30.07,512.9
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,5583,5564,5602,2025-10-28 11:50:24.797,2025-10-28 11:50:24.334,2025-10-28 11:50:25.296,0.5624,26.18,439.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6263,6244,6282,2025-10-28 11:50:41.817,2025-10-28 11:50:41.338,2025-10-28 11:50:42.313,0.9647,26.65,385.6
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6365,6346,6384,2025-10-28 11:50:44.381,2025-10-28 11:50:43.897,2025-10-28 11:50:44.840,0.8964,28.88,470.4
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6635,6616,6654,2025-10-28 11:50:51.128,2025-10-28 11:50:50.648,2025-10-28 11:50:51.608,0.9572,28.25,357.8
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6723,6704,6742,2025-10-28 11:50:53.331,2025-10-28 11:50:52.859,2025-10-28 11:50:53.811,0.9634,27.72,428.4
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6835,6816,6854,2025-10-28 11:50:56.135,2025-10-28 11:50:55.655,2025-10-28 11:50:56.615,0.6796,27.5,381.8
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6931,6912,6950,2025-10-28 11:50:58.534,2025-10-28 11:50:58.070,2025-10-28 11:50:59.014,0.9555,28.56,442.2
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7089,7070,7108,2025-10-28 11:51:02.505,2025-10-28 11:51:02.021,2025-10-28 11:51:02.961,0.5757,30.0,452.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7197,7178,7216,2025-10-28 11:51:05.204,2025-10-28 11:51:04.725,2025-10-28 11:51:05.668,0.978,30.38,508.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7363,7344,7382,2025-10-28 11:51:09.347,2025-10-28 11:51:08.890,2025-10-28 11:51:09.832,0.9616,26.68,432.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7595,7576,7614,2025-10-28 11:51:15.153,2025-10-28 11:51:14.690,2025-10-28 11:51:15.634,0.9552,26.52,462.1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7839,7820,7858,2025-10-28 11:51:21.264,2025-10-28 11:51:20.784,2025-10-28 11:51:21.744,0.9124,29.77,503.4
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7971,7952,7990,2025-10-28 11:51:24.576,2025-10-28 11:51:24.096,2025-10-28 11:51:25.040,0.9566,29.27,459.0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8385,8366,8404,2025-10-28 11:51:34.926,2025-10-28 11:51:34.458,2025-10-28 11:51:35.404,0.9637,27.99,448.6
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8501,8482,8520,2025-10-28 11:51:37.849,2025-10-28 11:51:37.361,2025-10-28 11:51:38.336,0.8466,28.03,488.2
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8681,8662,8700,2025-10-28 11:51:42.359,2025-10-28 11:51:41.866,2025-10-28 11:51:42.811,0.8537,30.17,479.2
